Trade Week,Ticker,Trade String,XP,Long/Short,Average Entry,Size,Average Exit,Percentage Change,P/L Per Unit,Realized P/L,Image Path
2024-07-31,QQQ,QQQ,,long,485.12,3,485.6,0.0,0.48,1296.0,20240731_035816_image.png
2024-07-31,SPX,SPX5475c,7/29/24,long,12.15,1,20.6,70.0,8.45,8450.0,20240731_035816_image.png
2024-07-31,ES,ES,,long,5501.5,10,5510.13,0.0,8.63,4315.0,20240731_035816_image.png
2024-07-31,SPX,SPX5475c,7/29/24,,12.15,1,13.18,8.0,1.03,1030.0,20240731_035816_image.png
2024-07-31,SPX,SPX5500/5525c,7/29/24,,1.45,4,0.0,-100.0,-1.45,-5800.0,20240731_035816_image.png
2024-07-31,ES,ES,,long,5508.5,10,5499.0,0.0,-7.5,-3750.0,20240731_035816_image.png
2024-07-31,SPX,SPX551.5c-552.5c,7/30/24,,1.1,3,0.0,-100.0,-1.1,-3300.0,20240731_035816_image.png
2024-07-31,ES,ES,,long,5495.5,10,5492.0,0.0,-3.5,-1750.0,20240731_035816_image.png
2024-07-31,SPX,SPX5480c,7/30/24,,7.8,2,0.0,-100.0,-7.8,-15600.0,20240731_035816_image.png
2023-11-14,SPY,SPY 443C,,core,0.1,15,0.0,-100.0,-0.1,-1500.0,20231114_185048_image.png
2023-11-14,SPY,SPY440/445C,,core,2.69,2.5,7.13,165.0,4.44,11100.0,20231114_185048_image.png
2023-11-14,QQQ,QQQ 379C,,core,0.28,1,0.3,7.0,0.02,20.0,20231114_185048_image.png
2023-11-14,SPY,SPY440/445C,,core,2.69,1,8.48,215.0,5.79,5790.0,20231114_185048_image.png
2023-11-14,QQQ,QQQ 404C,,Core,1.47,7,2.47,68.0,1.0,7000.0,20231114_185048_image.png
2023-11-14,SPY,SPY440/445C,,core,2.69,1,9.08,238.0,6.39,6390.0,20231114_185048_image.png
2023-11-14,IWM,IWM 175C,,core,1.42,1.5,8.16,475.0,6.74,10110.0,20231114_185048_image.png
2023-11-14,IWM,IWM 175C,,core,1.42,1,8.16,475.0,6.74,6740.0,20231114_185048_image.png
2023-11-14,SPY,SPY440/445C,,core,2.69,1,9.37,248.0,6.68,6680.0,20231114_185048_image.png
2023-11-14,ES,ES,,long,4500.5,10,4510.35,0.22,9.85,4925.0,20231114_185048_image.png
